Date,True_production,Forecast
2021-02-14_14,82.92000000000002,80.42225
2021-02-14_15,31.680000000000007,39.64432
2021-02-14_16,1.6100000000000136,9.379065
2021-02-14_17,0.0,1.9394587
2021-02-14_18,0.0,3.5855157
2021-02-14_19,0.0,5.1753597
2021-02-14_20,0.0,4.6579647
2021-02-14_21,0.0,4.82691
2021-02-14_22,0.0,4.877569
2021-02-14_23,0.0,5.4894466
2021-02-15_0,0.0,5.734808
2021-02-15_1,0.0,0.7935847
2021-02-15_2,0.0,0.28565013
2021-02-15_3,0.0,0.0
2021-02-15_4,0.0,0.0
2021-02-15_5,0.0,0.0
2021-02-15_6,0.0,7.683111
2021-02-15_7,33.62999999999994,109.87556
2021-02-15_8,131.64999999999998,129.44827
2021-02-15_9,213.23000000000002,261.09924
2021-02-15_10,304.09,310.68127
2021-02-15_11,840.53,361.38693
2021-02-15_12,1808.21,899.5053
2021-02-15_13,1861.19,1643.517
2021-02-15_14,1543.55,1436.8534
2021-02-15_15,988.95,713.39716
2021-02-15_16,144.22000000000003,144.0675
2021-02-15_17,0.0,0.0
2021-02-15_18,0.0,0.0
2021-02-15_19,0.0,5.429205
2021-02-15_20,0.0,0.0
2021-02-15_21,0.0,4.96784
2021-02-15_22,0.0,3.2085626
2021-02-15_23,0.0,4.6612606
2021-02-16_0,0.0,5.373724
2021-02-16_1,0.0,2.6818902
2021-02-16_2,0.0,1.8237971
2021-02-16_3,0.0,0.19757639
2021-02-16_4,0.0,0.0
2021-02-16_5,0.0,0.0
2021-02-16_6,0.0,0.0
2021-02-16_7,120.85000000000002,37.306644
